3171,12,713,4,0.942539388,605681.8182,Greater Dandenong (C),-37.95,145.16,2,2,2,2,5,9
3172,18,879,5,0.968536252,726189.7799,Kingston (C) (Vic.),-37.97,145.12,2,2,2,2,6,10
3173,13,769,1,1.221893491,633742.5072,Greater Dandenong (C),-37.99,145.15,3,3,3,3,6,10
3174,19,686,1,1.001560874,477984.5576,Greater Dandenong (C),-37.97,145.18,2,2,2,3,6,10
3175,38,1288,1,0.999280317,394549.4318,Greater Dandenong (C),-38.03,145.18,2,2,2,32,35,39
3177,10,434,9,0.936936937,382595.4461,Casey (C),-38,145.24,2,1,1,2,5,9
3178,25,1663,8,0.80035524,720332.113,Knox (C),-37.93,145.24,2,1,1,0,0,0
3179,,,8,1.120734908,687849.3363,Knox (C),-37.86,145.26,2,1,1,3,6,2
3180,,,9,0.929787234,677468.4959,Knox (C),-37.89,145.25,2,1,1,2,1,9
3181,,,9,1.204545455,866833.4795,Stonnington (C),-37.85,144.99,2,1,1,1,4,8
3182,11,952,9,1.131367292,586792.3611,Port Phillip (C),-37.87,144.98,2,1,1,1,4,8
3183,,,10,1.159574468,760331.5217,Port Phillip (C),-37.87,145,2,1,1,1,4,8
3184,6,428,9,1.260770975,925155.1724,Port Phillip (C),-37.88,145,2,1,1,1,0,0
3185,13,1006,10,1.18699187,1086406.065,Glen Eira (C),-37.88,145,2,1,1,1,4,8
3186,22,1600,10,1.209763539,1822780.178,Bayside (C),-37.91,144.99,2,1,1,2,5,9
3187,14,1230,9,1.11682243,1546737.942,Bayside (C),-37.9,145,2,1,1,1,1,1
3188,9,578,8,1.040329218,1327627.778,Bayside (C),-37.93,145.03,2,1,1,1,5,1
3189,6,351,9,1.049429658,762638.75,Kingston (C) (Vic.),-37.93,145.04,2,1,1,2,5,9
3190,,,10,1.065789474,813919.863,Kingston (C) (Vic.),-37.95,145.03,2,1,1,2,5,1
3191,,,8,1.063414634,1162467.424,Bayside (C),-37.95,145.01,2,1,1,2,5,9
3192,17,1114,10,1.241241241,790323.2787,Kingston (C) (Vic.),-37.96,145.06,2,1,1,2,5,9
3193,,,9,1.199521149,1314511.979,Bayside (C),-37.99,145.03,2,1,1,1,1,1
3194,18,1115,9,1.243291592,725871.6767,Kingston (C) (Vic.),-37.98,145.06,2,1,1,1,4,8
3195,22,1549,7,1.079590929,809360.5372,Kingston (C) (Vic.),-38.03,145.1,2,1,1,2,2,2
3196,15,804,8,1.117915905,645833.2831,Kingston (C) (Vic.),-38.06,145.12,3,2,2,5,6,10
3197,6,518,4,0.989180835,611761.4504,Kingston (C) (Vic.),-38.08,145.12,2,2,2,2,2,2
3198,,,5,0.996010638,510046.6009,Frankston (C),-38.11,145.16,2,1,1,2,5,9
3199,35,1999,1,0.969460689,416076.5241,Frankston (C),-38.15,145.12,4,3,3,3,6,10
3200,,,4,0.897590361,347091.9753,Frankston (C),-38.17,145.19,2,2,1,2,5,1
3201,20,1418,10,0.925897632,402161.8373,Frankston (C),-38.09,145.19,2,2,2,1,4,8
3202,,,9,1.448051948,667898,Kingston (C) (Vic.),-37.97,145.21,2,2,2,1,2,2
3204,,,8,1.145501285,1039494.275,Glen Eira (C),-37.92,145.04,2,1,1,2,5,9
3205,,,10,1.296875,900179.5852,Port Phillip (C),-37.93,145.03,2,1,1,2,5,9
3206,,,10,1.474747475,1632735.714,Port Phillip (C),-37.84,144.96,2,1,1,0,0,0
3207,7,780,7,1.486075949,1095488.235,Port Phillip (C),-37.83,144.96,2,1,1,1,4,0
3211,,,7,0.760683761,,Greater Geelong (C),-37.97,144.53,2,1,1,3,3,3
3335,1,58,3,3.927835052,469375,Melton (C),-37.69,144.69,1,1,1,4,10,18
3337,33,1878,3,1.086496028,283916.1765,Melton (C),-37.68,144.59,2,2,1,5,8,12
3338,21,1064,6,1.485397784,331465,Melton (C),-37.7,144.54,3,3,2,5,8,12
3340,13,967,8,0.999277457,361738.6364,Moorabool (S),-37.68,144.44,2,1,1,2,5,9
3341,,,5,0.863013699,,Moorabool (S),-37.52,144.31,2,1,1,0,0,8
3427,2,63,7,0.993006993,326325,Melton (C),-37.63,144.72,2,2,1,1,4,8
3428,,,7,1.06,,Hume (C),-37.64,144.8,2,2,2,0,0,0
3429,,,8,0.92871366,387826.762,Hume (C),-37.58,144.73,2,1,1,0,4,8
3430,,,9,1.3,,Macedon Ranges (S),-37.48,144.75,2,1,1,0,0,0
3431,5,273,10,1.06122449,506875,Macedon Ranges (S),-37.46,144.67,2,1,1,0,0,0
3432,,,,,,Macedon Ranges (S),-37.43,144.78,2,2,1,0,0,0
3433,,,7,0.475,,Macedon Ranges (S),0,0,2,2,1,0,0,0
3434,,,7,1.016304348,416774.6914,Macedon Ranges (S),-37.39,144.64,1,1,1,1,4,8
